Year,Sector,Size_Category,Mass (Gt)
2018,Amundsen and Bellingshausen Seas Sector,0-1 km²,311.26768250273346
2018,Amundsen and Bellingshausen Seas Sector,1-10 km²,405.0727746986385
2018,Amundsen and Bellingshausen Seas Sector,10-100 km²,182.59487056106624
2018,Amundsen and Bellingshausen Seas Sector,100-1000 km²,107.75575033639998
2018,Amundsen and Bellingshausen Seas Sector,>1000 km²,669.949457125625
2018,Indian Ocean Sector,0-1 km²,303.5936750669365
2018,Indian Ocean Sector,1-10 km²,220.46715430817076
2018,Indian Ocean Sector,10-100 km²,111.45320749344624
2018,Indian Ocean Sector,100-1000 km²,225.29537246024998
2018,Indian Ocean Sector,>1000 km²,0.0
2018,Ross Sea Sector,0-1 km²,267.1469161180088
2018,Ross Sea Sector,1-10 km²,187.02951953451262
2018,Ross Sea Sector,10-100 km²,60.7339997154775
2018,Ross Sea Sector,100-1000 km²,0.0
2018,Ross Sea Sector,>1000 km²,0.0
2018,Weddell Sea Sector,0-1 km²,198.95964434041255
2018,Weddell Sea Sector,1-10 km²,143.84298319964213
2018,Weddell Sea Sector,10-100 km²,156.107959013905
2018,Weddell Sea Sector,100-1000 km²,271.9519140909125
2018,Weddell Sea Sector,>1000 km²,2034.2739877138747
2018,Western Pacific Ocean Sector,0-1 km²,496.58081108594945
2018,Western Pacific Ocean Sector,1-10 km²,773.1406273835674
2018,Western Pacific Ocean Sector,10-100 km²,412.0488628206762
2018,Western Pacific Ocean Sector,100-1000 km²,355.84877069746244
2018,Western Pacific Ocean Sector,>1000 km²,0.0
2019,Amundsen and Bellingshausen Seas Sector,0-1 km²,327.1878591471493
2019,Amundsen and Bellingshausen Seas Sector,1-10 km²,478.01788058983135
2019,Amundsen and Bellingshausen Seas Sector,10-100 km²,212.69498906143
2019,Amundsen and Bellingshausen Seas Sector,100-1000 km²,116.10797640861249
2019,Amundsen and Bellingshausen Seas Sector,>1000 km²,660.085711494375
2019,Indian Ocean Sector,0-1 km²,321.7692538718495
2019,Indian Ocean Sector,1-10 km²,286.048758475902
2019,Indian Ocean Sector,10-100 km²,185.73789997618874
2019,Indian Ocean Sector,100-1000 km²,283.1947698684125
2019,Indian Ocean Sector,>1000 km²,565.254175455
2019,Ross Sea Sector,0-1 km²,292.71013273382084
2019,Ross Sea Sector,1-10 km²,225.31657245887675
2019,Ross Sea Sector,10-100 km²,103.44924482173624
2019,Ross Sea Sector,100-1000 km²,56.36423757857499
2019,Ross Sea Sector,>1000 km²,0.0
2019,Weddell Sea Sector,0-1 km²,151.5094806989298
2019,Weddell Sea Sector,1-10 km²,101.96106762067575
2019,Weddell Sea Sector,10-100 km²,99.39759129149374
2019,Weddell Sea Sector,100-1000 km²,53.64732111379999
2019,Weddell Sea Sector,>1000 km²,1984.20083520025
2019,Western Pacific Ocean Sector,0-1 km²,620.0929998598664
2019,Western Pacific Ocean Sector,1-10 km²,814.0826599487127
2019,Western Pacific Ocean Sector,10-100 km²,372.07705083599376
2019,Western Pacific Ocean Sector,100-1000 km²,252.47443219833752
2019,Western Pacific Ocean Sector,>1000 km²,0.0
2020,Amundsen and Bellingshausen Seas Sector,0-1 km²,344.47319498311225
2020,Amundsen and Bellingshausen Seas Sector,1-10 km²,559.3796454795806
2020,Amundsen and Bellingshausen Seas Sector,10-100 km²,389.6545147438412
2020,Amundsen and Bellingshausen Seas Sector,100-1000 km²,184.342607257875
2020,Amundsen and Bellingshausen Seas Sector,>1000 km²,639.4055271206252
2020,Indian Ocean Sector,0-1 km²,298.02329117702504
2020,Indian Ocean Sector,1-10 km²,310.21278083767
2020,Indian Ocean Sector,10-100 km²,221.0031817087375
2020,Indian Ocean Sector,100-1000 km²,553.2953248862375
2020,Indian Ocean Sector,>1000 km²,307.704898178125
2020,Ross Sea Sector,0-1 km²,330.4515479551707
2020,Ross Sea Sector,1-10 km²,218.52084640623912
2020,Ross Sea Sector,10-100 km²,90.56140757079125
2020,Ross Sea Sector,100-1000 km²,84.5272823508625
2020,Ross Sea Sector,>1000 km²,0.0
2020,Weddell Sea Sector,0-1 km²,211.80193972313614
2020,Weddell Sea Sector,1-10 km²,200.63468190820325
2020,Weddell Sea Sector,10-100 km²,160.268502258375
2020,Weddell Sea Sector,100-1000 km²,172.23403420432498
